name,lat,long,region,address 1,address 2,address 3,county
O'briens,54.951547,-6.555887,northireland,GROUND FLOOR,13 CASTLE STREET,DALKEY,CO. DUBLIN
O'briens,54.951547,-6.555887,northireland,UNIT 3 NEWPARK CENTRE,NEWTOWNPARK AVENUE,BLACKROCK,CO. DUBLIN
O'briens,54.951547,-6.555887,northireland,UNIT 7 BALLYBRACK SHOPPING CENTRE,CHURCHVIEW ROAD,BALLYBRACK,CO. DUBLIN
O'briens,54.951547,-6.555887,northireland,1 MAIN STREET,MALAHIDE,,CO. DUBLIN
O'briens,54.951547,-6.555887,northireland,"UNIT 1, 178 TEMPLEOGUE ROAD",TEMPLEOGUE,,CO. DUBLIN
O'briens,54.951547,-6.555887,northireland,MARKET SQUARE,ATHY,,CO. KILDARE
O'briens,54.951547,-6.555887,northireland,TIMOLIN,MOONE,,CO. KILDARE
O'briens,54.951547,-6.555887,northireland,45 ROCHES STREET,LIMERICK,,CO. LIMERICK
O'briens,54.951547,-6.555887,northireland,14 KILLEGLAND,ASHBOURNE,,CO. MEATH
O'briens,54.951547,-6.555887,northireland,12/13 SOUTH STREET,NEW ROSS,,CO. WEXFORD
O'briens,54.951547,-6.555887,northireland,UNIT 5 CITYWEST SHOPPING CENTRE,CITYWEST ROAD,CITYWEST,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,UNIT D5,LOWER BEACON SOUTH QUARTER,SANDYFORD,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,97 SANDYMOUNT ROAD,SANDYMOUNT,,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,105 RATHGAR ROAD,,,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,30/32 MAIN STREET,DONNYBROOK,,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,UNIT 33 SPRUCE AVENUE,STILLORGAN INDUSTRIAL PARK,,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,149 UPPER RATHMINES ROAD,,,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,UNIT 6 THE MAPLE CENTRE,NAVAN ROAD,,DUBLIN CITY
O'briens,54.951547,-6.555887,northireland,8/9 SUSSEX TERRACE,UPPER LEESON STREET,,DUBLIN CITY
O'neills Bar,54.540757,-6.701263,northireland,MILL ROAD,MIDLETON,,CO. CORK
O'neills Bar,54.540757,-6.701263,northireland,13 EAST END,CAHERCIVEEN,,CO. KERRY
O'neills Bar,54.540757,-6.701263,northireland,THE MALL,SLIGO,,CO. SLIGO
Packies Bar,54.451494,-7.487413,northireland,CORR POINT,"LETTERMACAWARD, LIFFORD",,CO. DONEGAL
Phoenix Bar,54.61387,-5.936181,northireland,3 UNION QUAY,CORK,,CO. CORK
Quinns Bar,54.461689,-7.028292,northireland,7 MARKET STREET,ENNIS,,CO. CLARE
Quinns Bar,54.502224,-6.772537,northireland,7 MARKET STREET,ENNIS,,CO. CLARE
Railway Bar,54.715062,-6.21726,northireland,MARKET STREET AND ASHWALK,ARDEE,,CO. LOUTH
Railway Bar,54.715062,-6.21726,northireland,MAIN STREET,BANAGHER,,CO. OFFALY
Railway Inn,54.35127,-6.27315,northireland,SALLINS,,,CO. KILDARE
Railway Tavern,54.8598039,-6.2773351,northireland,SKIDDERNAGH,MANULLA,CASTLEBAR,CO. MAYO
Robinson's Bar,54.421676,-6.453612,northireland,KILSHEELAN,CLONMEL,,CO. TIPPERARY
The Bridge Bar,55.131902,-6.676412,northireland,BRIDGE END,RAMELTON,,CO. DONEGAL
The Bridge Bar,55.131902,-6.676412,northireland,MAIN STREET,BUNDORAN,,CO. DONEGAL
The Bridge Bar,55.131902,-6.676412,northireland,BRIDGE STREET,DUNMORE,,CO. GALWAY
The Bridge Bar,55.131902,-6.676412,northireland,SHOP STREET,TUAM,,CO. GALWAY
